categories,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,neuron_37,neuron_38,neuron_39,neuron_40,neuron_41,neuron_42,neuron_43,neuron_44,neuron_45,neuron_46,neuron_47,neuron_48,neuron_49,neuron_50,neuron_51,neuron_52,neuron_53,neuron_54,neuron_55,neuron_56,neuron_57,neuron_58,neuron_59,neuron_60,neuron_61,neuron_62,neuron_63,neuron_64
['1980s_buddy_films'],0.7823991,0.0,0.36647806,0.20659222,0.8080804,0.0,0.34840608,0.469562,0.0,0.14746225,1.0364274,0.3487255,0.34799358,0.0,0.0,0.14910746,0.4814307,0.0,0.83747107,0.8241504,0.0,0.52183795,0.4410407,0.48974958,0.3582123,1.0298007,0.4802755,0.0,0.0,0.0,0.30022374,0.38821864,0.0,0.0,0.9291192,0.41727233,0.0,0.0,0.6059218,0.0,0.5144157,0.356438,0.75088376,0.0,0.0,0.0,0.2280898,0.6237569,0.70318913,0.76182586,0.50867873,0.0,0.26108775,1.2546169,1.18472,0.4566597,0.0,0.41638845,0.4816669,1.4326161,0.9277073,0.0,0.46729267,0.31607813
"['Fictional_trios', 'Films_shot_in_France', '1988_films', 'Films_with_screenplays_by_Dale_Launer', 'Films_adapted_into_plays', 'English-language_films', '1988_comedy_films']",0.39549902,0.15005478,0.0,0.0,0.0,0.24663243,0.0,0.36782885,0.39777973,0.0,0.07093631,0.0,0.7235219,0.5654846,0.5246603,0.6306636,0.0,0.30870065,0.0,1.2561458,0.0509429,0.0,0.0,0.9613011,0.6682031,0.0,0.0,0.0,0.0,0.32553777,0.0,0.0,0.09625367,0.07292766,0.35715857,0.0,0.6305476,0.59172326,1.4626584,0.66689783,0.0,0.0,0.0,0.21607572,0.30835313,0.88370776,0.0,0.4114554,0.0,0.10011907,0.0,0.4942228,0.0,0.0,0.43839377,0.0,0.4190945,0.0,1.0761911,0.0,0.94780695,0.40501782,0.36757568,0.0
"['English-language_films', 'Sony_Pictures_Entertainment_Motion_Picture_Group']",0.0,1.0418242,1.5895259,0.9425221,0.0,1.9142526,0.0,0.0,1.5995221,0.0,0.0,0.0,0.6165913,1.334485,1.1837312,2.4257236,0.0,1.900294,0.0,1.133784,0.8833211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.945885,1.333017,0.0,0.0,0.042650916,0.30257407,0.0,0.0,1.924521,0.0,0.94591576,1.207866,0.0,0.0,0.0,1.0397402,2.2048478,2.046721,0.0,0.0,0.0,0.0,0.0,2.391849,0.0,0.0,0.0,0.0,1.4639399,0.0,0.511654,0.0,2.0781758,1.9759612,1.571766,0.0
"['American_black-and-white_films', 'Cinema_of_New_York_City']",0.6941471,0.0,0.3866751,0.30130184,0.77594197,0.0,0.36480415,0.42156017,0.0,0.18741216,0.83353823,0.43569213,0.23011895,0.0,0.0,0.04377248,0.57629025,0.0,0.56119406,0.3328408,0.0,0.5192366,0.47299433,0.14721283,0.21775246,0.91315085,0.3388355,0.03149141,0.0,0.0,0.3530053,0.33527863,0.0,0.0,0.7124602,0.4506452,0.0,0.0,0.36774343,0.0,0.51866704,0.17076084,0.63285047,0.0,0.0,0.0,0.45954517,0.47744521,0.64415157,0.5385664,0.55140775,0.0,0.36600605,0.982391,0.9674375,0.63414866,0.0,0.36908498,0.16949135,1.2423495,0.55494714,0.015514189,0.38595667,0.35095662
['American_films'],0.5555769,0.0,0.3999564,0.28990176,0.5962173,0.0,0.3272483,0.3201174,0.0,0.23774418,0.6105142,0.4225215,0.15921251,0.0,0.0,0.0,0.4478965,0.0,0.38976544,0.0,0.0,0.4392561,0.38939363,0.0,0.16851312,0.70998573,0.24881293,0.10219329,0.0,0.0,0.337199,0.304642,0.0,0.0,0.5133164,0.3541256,0.0,0.0,0.2215669,0.0,0.46522427,0.15361714,0.48966688,0.0,0.0,0.0,0.46682855,0.36622933,0.5304714,0.3893129,0.44974557,0.0,0.4052054,0.65341747,0.7691953,0.59038466,0.0,0.2979856,0.0,0.8954399,0.19835499,0.07452769,0.30481002,0.322148
['2000_drama_films'],0.39284864,0.0,0.5696382,0.22198264,0.39833498,0.029035978,0.11648744,0.049587764,0.0,0.07007449,0.3305855,0.20112443,0.0042747213,0.0,0.0,0.0553307,0.038333133,0.016474016,0.2771878,0.053582825,0.0,0.09352548,0.072402,0.011180421,0.05812593,0.5163074,0.28283563,0.009317883,0.028996697,0.0,0.1035972,0.10457916,0.0,0.0,0.26760846,0.0793971,0.0,0.0,0.29342216,0.0,0.16289657,0.23567903,0.44630012,0.0,0.07886718,0.0,0.20327358,0.15957548,0.22162569,0.34440556,0.077241994,0.18110862,0.16051239,0.5396917,0.5388111,0.14630663,0.009758085,0.017324861,0.0,0.62403804,0.4755546,0.24792069,0.41796172,0.07068778
"['Films_by_geographic_setting', 'Films_set_in_deserts', 'Films_with_screenplays_by_Scott_Frank', 'Films_scored_by_Marco_Beltrami']",0.045636386,0.3849021,0.29710957,0.0,0.0,0.56957597,0.0,0.0032625126,0.6517044,0.0,0.0,0.0,0.46926484,0.68062264,0.45953456,0.81971437,0.0,0.5928059,0.0,1.1977185,0.21340983,0.0,0.0,0.70963264,0.25392604,0.0,0.0,0.0,0.24978234,0.4560071,0.0,0.0,0.0,0.20848769,0.19897658,0.0,0.7920701,0.24900074,1.08168,0.54187506,0.0,0.0,0.0,0.4679375,0.53143054,0.93977344,0.0,0.07530127,0.0,0.0,0.0,0.7621895,0.0,0.0,0.10502885,0.0,0.5504512,0.0,0.9263831,0.0,1.0445646,0.4884131,0.50175536,0.0
['English-language_French_films'],0.16434471,0.31282982,0.7143629,0.0,0.0,0.4506618,0.0,0.0,0.32852954,0.0,0.03802951,0.0,0.071649574,0.40912068,0.25703347,0.62315375,0.0,0.5907106,0.14760628,0.66963583,0.17012955,0.0,0.0,0.38520715,0.0,0.16206141,0.17956015,0.0,0.48554584,0.2717556,0.0,0.0,0.0,0.3018331,0.060540073,0.0,0.5340537,0.0,0.52725214,0.20313688,0.0,0.30110157,0.26812282,0.39860025,0.6058532,0.37679365,0.0,0.0,0.0,0.1635488,0.0,0.7976415,0.0,0.29975435,0.18230975,0.0,0.43336672,0.0,0.18604307,0.18139441,1.15534,0.50120467,0.6289844,0.0
"['Soviet_films', '1991_directorial_debut_films', '1990s_films', '1990s_Hindi-language_films', 'Indian_multilingual_films']",0.45999315,0.0,0.59435076,0.20436144,0.42419207,0.0065132612,0.11626382,0.07281539,0.0,0.017664302,0.40255415,0.18467057,0.035618838,0.0,0.0,0.14008927,0.054982528,0.0,0.3363395,0.19677103,0.0,0.06889898,0.07772511,0.11149266,0.056397863,0.56279737,0.30155244,0.0,0.002295252,0.0,0.08980248,0.07099477,0.0,0.0,0.30583125,0.08171869,0.0,0.0,0.38765416,0.0,0.12000268,0.2253969,0.48776558,0.0,0.06972275,0.0,0.2006358,0.19289733,0.22806197,0.4149938,0.06426746,0.2185496,0.105483904,0.637795,0.60152906,0.13944592,0.0,0.0,0.0,0.71813464,0.6378478,0.25921425,0.4651483,0.056669585
['Chinese_suspense_films'],0.6107631,0.0,0.37017828,0.26649708,0.7043655,0.0,0.29657108,0.33976707,0.0,0.15277125,0.7391631,0.3238831,0.19952382,0.0,0.0,0.04492826,0.42114773,0.0,0.51772267,0.3204814,0.0,0.4188828,0.3664531,0.16652247,0.2019073,0.8064862,0.3207695,0.009136789,0.0,0.0,0.26916012,0.29331064,0.0,0.0,0.63658315,0.37658784,0.0,0.0,0.3463666,0.0,0.45986742,0.22797877,0.6001371,0.0,0.0,0.0,0.37065473,0.42482436,0.5337647,0.49406496,0.429107,0.0,0.308367,0.874693,0.8499756,0.47848502,0.0,0.30247882,0.116408154,1.082674,0.549744,0.0,0.33247858,0.27985814
