categories,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,neuron_37,neuron_38,neuron_39,neuron_40,neuron_41,neuron_42,neuron_43,neuron_44,neuron_45,neuron_46,neuron_47,neuron_48,neuron_49,neuron_50,neuron_51,neuron_52,neuron_53,neuron_54,neuron_55,neuron_56,neuron_57,neuron_58,neuron_59,neuron_60,neuron_61,neuron_62,neuron_63,neuron_64
"['Films_directed_by_Alexandre_Arcady', 'French_films']",0.3749646,0.09495705,0.61031836,0.023566835,0.26921603,0.16480668,0.0,0.0,0.0781362,0.0,0.37338474,0.0,0.11564828,0.111923225,0.052274473,0.43556178,0.0,0.19845998,0.4072704,0.7056989,0.049290672,0.0,0.0,0.45584524,0.12117322,0.44092336,0.29964152,0.0,0.22495663,0.07071917,0.0,0.0,0.0,0.12866686,0.31792566,0.0,0.20746961,0.0,0.57237166,0.033153467,0.0,0.4235455,0.47146073,0.15476947,0.2502741,0.0,0.0,0.123847514,0.0356666,0.4677732,0.0,0.48326987,0.0,0.61603653,0.50618243,0.0,0.15727243,0.0,0.19481549,0.5332688,1.0376147,0.26547265,0.56821215,0.0
"['French_film_remakes', 'Films_based_on_works_by_Marcel_Pagnol']",0.3038662,0.14476857,0.79352224,0.082846,0.17609932,0.36577225,0.0,0.0,0.15085001,0.0,0.12369321,0.0,0.0,0.2748283,0.13322847,0.467562,0.0,0.43971676,0.2386543,0.45848843,0.07632194,0.0,0.0,0.2794787,0.0,0.34326604,0.29180276,0.0,0.37203503,0.16197395,0.0,0.0,0.0,0.18463911,0.08975244,0.0,0.29763857,0.0,0.537557,0.0914451,0.0,0.3397558,0.43112323,0.22096336,0.48138618,0.11176597,0.0,0.0,0.0,0.34464005,0.0,0.66072345,0.0,0.49518716,0.36221787,0.0,0.3190907,0.0,0.046826687,0.41715348,1.0560467,0.4744631,0.6563625,0.0
['Films_shot_in_California'],0.10109672,0.42803377,0.6668641,0.0,0.0,0.5501239,0.0,0.0,0.47755066,0.0,0.0003831908,0.0,0.16898145,0.56904894,0.3548198,0.7532419,0.0,0.69278514,0.08273255,0.85800827,0.23386252,0.0,0.0,0.47967896,0.0025446592,0.042260848,0.109368205,0.0,0.564301,0.3587376,0.0,0.0,0.0,0.37033316,0.043021575,0.0,0.71529317,0.0,0.6179809,0.30474362,0.0,0.24146467,0.07400647,0.5664656,0.6970203,0.60990405,0.0,0.0,0.0,0.062984906,0.0,0.92527574,0.0,0.11122261,0.08497103,0.0,0.5465169,0.0,0.3101933,0.0,1.2116032,0.5621839,0.62931406,0.0
"['Films_with_screenplays_by_Woody_Allen', 'American_screwball_comedy_films', 'Films_by_country', 'Films_shot_in_the_United_States_by_city', 'Films_about_filmmaking', '2002_comedy_films', 'Films_about_film_directors_and_producers', '2000s_screwball_comedy_films']",0.41261628,0.0,0.4418753,0.16588628,0.44572532,0.0,0.11739549,0.06874442,0.0,0.044760015,0.44367552,0.049467616,0.10439135,0.0,0.0,0.15054217,0.0075770076,0.0,0.36414808,0.29657963,0.0,0.098803446,0.06961655,0.19666955,0.14073247,0.5459099,0.2793078,0.0,0.035860017,0.0,0.03841499,0.10667016,0.0,0.0,0.39256316,0.12061591,0.0,0.0,0.34313357,0.0,0.18135154,0.3218244,0.48448968,0.0,0.045963652,0.0,0.12532097,0.20128827,0.21836013,0.3729537,0.04656194,0.17507577,0.1039619,0.6071006,0.5570482,0.033894174,0.0,0.038172036,0.0,0.671554,0.6182506,0.11453483,0.3526993,0.06922278
['Mormonism_in_fiction'],0.43075168,0.0,0.6137627,0.107118204,0.38586235,0.07101111,0.003705318,0.019539393,0.0,0.0,0.4361754,0.0,0.08439824,0.0,0.0,0.35137507,0.0,0.06671006,0.44204932,0.61609715,0.0,0.0,0.0,0.38082537,0.098669276,0.54012823,0.34176317,0.0,0.11819329,0.0,0.0,0.0,0.0,0.045614716,0.36195973,0.0,0.06741223,0.0,0.5353687,0.0,0.0,0.3877394,0.5492861,0.050570466,0.13655268,0.0,0.0,0.19722469,0.13932091,0.5278713,0.0,0.3854539,0.0,0.7213181,0.58026695,0.0,0.06547129,0.0,0.17215021,0.68203056,0.98636127,0.22036457,0.55611753,0.0
"['American_coming-of-age_films', 'Films_set_in_Massachusetts_by_city', '1990s_action_drama_films']",0.04259123,0.2591164,0.09985262,0.0,0.0,0.40761122,0.0,0.08013913,0.48125213,0.0,0.0,0.0,0.38223368,0.5108665,0.4277138,0.6346988,0.0,0.43448573,0.0,1.0897264,0.17982885,0.0,0.0,0.7039412,0.2843578,0.0,0.0,0.0,0.12165671,0.3712526,0.0,0.0,0.06812727,0.16911824,0.19123757,0.0,0.57270104,0.22175284,0.9880499,0.4412926,0.0,0.0,0.0,0.33674887,0.32439125,0.80824184,0.0,0.12056243,0.0,0.0,0.0,0.53726524,0.0,0.0,0.05468212,0.0,0.39256647,0.0,0.9523017,0.0,0.8341626,0.36343795,0.40721646,0.0
"['Films_set_in_the_2000s', 'American_films', 'Films_about_telekinesis', 'Films_shot_in_Toronto', 'Films_based_on_works_by_Chris_Claremont', 'Superhero_adventure_films', 'Films_scored_by_John_Ottman', '2003_films', 'Films_with_screenplays_by_David_Hayter', 'Films_produced_by_Bryan_Singer', 'Films_produced_by_Ralph_Winter', '2000s_adventure_films', '2003_science_fiction_action_films', 'Culture_of_Vancouver', '2003_action_films', 'Films_with_screenplays_by_Michael_Dougherty']",0.0,0.70276535,0.8660101,0.14286628,0.0,1.2632483,0.0,0.0,1.1872455,0.0,0.0,0.0,0.5462728,1.2107636,0.7323894,1.5061455,0.0,1.3477298,0.0,1.1082511,0.41424444,0.0,0.0,0.118256554,0.0,0.0,0.0,0.0,0.6261803,0.9587287,0.0,0.0,0.0,0.24983035,0.0,0.0,1.5250807,0.061276976,1.1550341,1.0860828,0.0,0.0,0.0,0.9634362,1.4615177,1.6907898,0.0,0.0,0.0,0.0,0.0,1.700586,0.0,0.0,0.0,0.0,1.1802201,0.0,0.8714677,0.0,1.4870323,1.2155349,0.9321118,0.0
"['Films_based_on_American_novels', '2004_comedy_films', 'Films_based_on_young_adult_literature', 'Films_shot_in_Hamilton,_Ontario', '2000s_high_school_films', 'Films_shot_in_Montreal', 'Musical_comedy_films_by_decade', 'Films_shot_in_New_Jersey']",0.031578027,0.42625332,0.3277122,0.0,0.0,0.6970601,0.0,0.0,0.7403801,0.0,0.0,0.0,0.5004216,0.84350884,0.50964034,0.9375426,0.0,0.69413316,0.0,1.1939965,0.26998207,0.0,0.0,0.6197697,0.24917743,0.0,0.0,0.0,0.2909843,0.54100704,0.0,0.0,0.018643582,0.22248408,0.15962437,0.0,0.9414592,0.28642863,1.130166,0.6546788,0.0,0.0,0.0,0.53104,0.7005462,1.1214386,0.0,0.013048527,0.0,0.0,0.0,0.9020527,0.0,0.0,0.013539212,0.0,0.6536467,0.0,0.9462016,0.0,1.0877353,0.6008147,0.5483305,0.0
['South_Korean_science_fiction_action_films'],0.0,0.42371708,0.7028738,0.16637808,0.0,0.99417126,0.0,0.0,1.0680454,0.0,0.0,0.0,0.7031658,0.82452863,0.76298624,1.486126,0.0,1.2914046,0.0,0.86165494,0.36722222,0.0,0.0,0.0,0.0,0.0,0.0,0.016401269,0.7502228,1.1084319,0.0,0.0,0.08330123,0.4096838,0.0,0.0,1.5951494,0.16457573,1.2576113,1.0952196,0.0,0.0,0.0,0.9760666,1.5218886,1.6364018,0.0,0.0,0.0,0.0,0.0,1.722916,0.0,0.0,0.0,0.0,1.3407845,0.0,0.53918594,0.0,1.3927305,1.2546413,0.9454723,0.0
['English-language_films'],0.20755973,0.2707491,0.7047132,0.0,0.005236993,0.46596017,0.0,0.0,0.31129342,0.0,0.051273327,0.0,0.025111627,0.46851125,0.23550269,0.5718466,0.0,0.57282287,0.15553035,0.5739409,0.16599756,0.0,0.0,0.3536018,0.030474253,0.19328558,0.21307665,0.0,0.49548462,0.24999337,0.0,0.0,0.0,0.30033264,0.047455713,0.0,0.5121105,0.0,0.53905183,0.17726722,0.0,0.3522302,0.26872408,0.39182723,0.6043031,0.3725731,0.0,0.0,0.0,0.20022343,0.0,0.77519155,0.0,0.2807997,0.21589547,0.0,0.4287766,0.0,0.07450344,0.16983537,1.0573741,0.49879086,0.6026676,0.0
['Films_shot_in_the_Czech_Republic'],0.42174488,0.18212937,0.88156724,0.03604348,0.23335195,0.31124738,0.0,0.0,0.12996209,0.0,0.29614595,0.0,0.05897984,0.15483615,0.13441537,0.6180096,0.0,0.3323603,0.45150602,0.9240966,0.11447662,0.0,0.0,0.54272544,0.0051978687,0.443477,0.37847656,0.0,0.3078336,0.18070287,0.0,0.0,0.0,0.18207042,0.24542902,0.0,0.26662537,0.0,0.7437088,0.09430997,0.0,0.4155892,0.5575071,0.22502603,0.38162428,0.017169438,0.0,0.088985324,0.0,0.55493647,0.0,0.73742825,0.0,0.7393331,0.5357047,0.0,0.28413644,0.0,0.3788195,0.6123281,1.448489,0.46867722,0.8109155,0.0
['American_romantic_drama_films'],0.47150588,0.110773675,0.38734305,0.0,0.15097265,0.0,0.0,0.2777366,0.053665828,0.0,0.8822719,0.0,0.432202,0.0,0.03590421,0.43545365,0.0,0.0,0.7293622,1.4241438,0.033312067,0.0,0.0,1.0388068,0.42223284,0.51662993,0.34257656,0.0,0.0,0.0073148552,0.0,0.0,0.0,0.059270393,0.59664685,0.0,0.004492946,0.0,1.0820613,0.026857529,0.0,0.4557746,0.30166852,0.08710242,0.0,0.0,0.0,0.5266929,0.22276649,0.8673384,0.0,0.21693657,0.0,0.75671345,0.85584444,0.0,0.0,0.0,0.8053759,0.6164269,1.1453623,0.062104896,0.55972284,0.0
['20th_Century_Fox_films'],0.73985124,0.0,0.35586044,0.27230456,0.80413514,0.0,0.37045684,0.43383655,0.0,0.18343003,0.8925895,0.39729434,0.26868764,0.0,0.0,0.0655903,0.5722009,0.0,0.62940633,0.43376943,0.0,0.5330263,0.49059963,0.24041604,0.28092447,0.9473958,0.36437842,0.0014371304,0.0,0.0,0.33268034,0.3578767,0.0,0.0,0.77868176,0.47166416,0.0,0.0,0.4210296,0.0,0.54451424,0.22683012,0.6647391,0.0,0.0,0.0,0.42943823,0.5090574,0.65351474,0.5815576,0.55569464,0.0,0.34293234,1.0484947,1.0214621,0.5855412,0.0,0.37849805,0.21222316,1.2925454,0.62484,0.0,0.36995256,0.3600829
"['American_films', 'American_psychological_thriller_films']",0.36845645,0.0,0.5005342,0.19102249,0.3851357,0.038311902,0.09925969,0.014407498,0.0,0.03502097,0.33428374,0.09205651,0.045070607,0.0,0.0,0.12220706,0.0,0.06018804,0.27845684,0.14439373,0.0,0.054769315,0.039460726,0.08974062,0.07713296,0.48801216,0.26167494,0.0,0.08172752,0.0,0.03732797,0.079950616,0.0,0.0,0.28761727,0.08027988,0.0014282037,0.0,0.30028868,0.0,0.13880447,0.27086592,0.4362788,0.0,0.12895228,0.0,0.16074646,0.13589564,0.16429216,0.2984024,0.0148441745,0.2196661,0.100687936,0.5227456,0.4924676,0.04470262,0.022282679,0.0,0.0,0.58972216,0.54869485,0.20069881,0.37260574,0.047632493
"['Films_based_on_Western_(genre)_novels', 'Cultural_depictions_of_George_Armstrong_Custer', 'Horses_in_popular_culture', 'Western_(genre)_films_by_genre', 'Films_about_horses', 'American_films']",0.53566134,0.0,0.7116127,0.10029569,0.44364953,0.0,0.004823202,0.13349506,0.0,0.0,0.62343264,0.032956265,0.16411819,0.0,0.0,0.424427,0.0,0.0,0.6505774,0.98487717,0.0,0.0,0.0,0.56167483,0.10793829,0.67783546,0.48186877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5150031,0.0,0.0,0.0,0.71130997,0.0,0.0,0.39948276,0.6604291,0.0,0.0,0.0,0.0,0.35974443,0.26762873,0.7416723,0.0,0.41357562,0.0,1.0074364,0.82575,0.0,0.0,0.0,0.512237,0.9410179,1.3068051,0.2397026,0.73943883,0.0
"['American_crime_films', 'Metro-Goldwyn-Mayer_films']",0.6495317,0.0,0.43012795,0.24771677,0.64280325,0.0,0.3027951,0.3332786,0.0,0.17590092,0.713764,0.36807117,0.18596743,0.0,0.0,0.0,0.41674337,0.0,0.49886304,0.21586956,0.0,0.41800085,0.38358444,0.11727089,0.20772354,0.7844511,0.3122872,0.02665799,0.0,0.0,0.30035013,0.26932302,0.0,0.0,0.58742034,0.32889095,0.0,0.0,0.37081245,0.0,0.4222092,0.20552406,0.56672674,0.0,0.0,0.0,0.38263375,0.41080257,0.54379976,0.52784383,0.42328367,0.0,0.33347234,0.8121811,0.85874754,0.4972672,0.0,0.25713617,0.04506045,1.0168477,0.42895982,0.06758121,0.36350346,0.29967126
"['Films_about_drugs', 'Films_directed_by_Katt_Shea', 'Cinema_of_Southern_California', '1990_films', '1990s_thriller_films', 'Films_about_runaways']",0.42789105,0.0,0.49914017,0.28986466,0.45716247,0.0,0.24960746,0.1989863,0.0,0.21396615,0.41584498,0.40241554,0.05332361,0.0,0.0,0.0,0.2985696,0.0,0.26811522,0.0,0.0,0.29107338,0.25428998,0.0,0.07364455,0.5761646,0.24229564,0.111078754,0.0,0.0,0.27749857,0.23154575,0.0,0.0,0.3330238,0.23392916,0.0,0.0,0.16376953,0.0,0.3400217,0.14153814,0.4258934,0.0,0.0,0.0,0.41000152,0.26326337,0.40141058,0.30629814,0.3031734,0.0,0.3440304,0.51572275,0.63526183,0.4850518,0.0,0.19765481,0.0,0.7043289,0.1690593,0.19501767,0.35886294,0.21191709
['French-language_films'],0.6942002,0.0,0.30547076,0.25504908,0.7810895,0.0,0.35917988,0.4199422,0.0,0.19327034,0.88033503,0.34893626,0.27439305,0.0,0.0,0.022317588,0.49771702,0.0,0.62158394,0.42429975,0.0,0.54165393,0.4637016,0.24951807,0.2978491,0.9168068,0.34574434,0.0,0.0,0.0,0.31577978,0.36184758,0.0,0.0,0.77334714,0.4484019,0.0,0.0,0.40878144,0.0,0.54648376,0.27238554,0.63951904,0.0,0.0,0.0,0.36213526,0.5153619,0.63202,0.5824906,0.53691244,0.0,0.3610173,0.9708915,0.95915675,0.527111,0.0,0.39112544,0.18298082,1.2024893,0.5377414,0.0,0.2998867,0.36885706
['Biographical_films_about_Napoleon'],0.72721595,0.0,0.5565192,0.0,0.46899143,0.0,0.0,0.4220492,0.0,0.0,1.1015159,0.041126825,0.3862197,0.0,0.0,0.32255456,0.0,0.0,1.0676317,1.579825,0.0,0.05036167,0.040348124,1.1489553,0.4230644,0.88099366,0.67748576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8431586,0.0,0.0,0.0,1.19476,0.0,0.0,0.5102438,0.68484455,0.0,0.0,0.0,0.0,0.7182382,0.5405192,1.1930438,0.0,0.18867435,0.0,1.2695211,1.2514294,0.0,0.0,0.0,1.0208699,1.1887568,1.4841825,0.040041547,0.7485161,0.0
"['2017_comedy_films', 'Hong_Kong_sequel_films', 'Films_set_in_Hong_Kong', 'Films_based_on_radio_series']",0.073223576,0.23132044,0.30099496,0.0,0.0,0.19385237,0.0,0.0,0.25347096,0.0,0.26090553,0.0,0.26139715,0.19162947,0.17751878,0.4626853,0.0,0.26878116,0.2318355,0.91874415,0.1124365,0.0,0.0,0.61401576,0.13770089,0.121812135,0.103671,0.0,0.16562808,0.17804104,0.0,0.0,0.0,0.18967396,0.2280646,0.0,0.3438827,0.0,0.62219137,0.15752956,0.0,0.14500985,0.0,0.3212582,0.1767854,0.290291,0.0,0.12262511,0.0,0.25722888,0.0,0.44523966,0.0,0.1870034,0.2321785,0.0,0.21758634,0.0,0.51873446,0.05518242,0.84703386,0.21118549,0.43732324,0.0
"['French_films', 'Film_scores_by_composer', 'Avant-garde_and_experimental_films', '1990s_avant-garde_and_experimental_films', 'Films_shot_in_Los_Angeles', 'Films_with_screenplays_by_David_Lynch', 'European_films_by_country', 'Films_directed_by_David_Lynch', 'Uxoricide_in_fiction', '1997_films']",0.48112422,0.1298915,0.33174065,0.0,0.0,0.0,0.0,0.37789714,0.11099204,0.0,0.84340906,0.0,0.44133294,0.0,0.13976982,0.4944984,0.0,0.0,0.64028424,1.5759192,0.04978344,0.0,0.0,1.1803216,0.501253,0.3968179,0.25577837,0.0,0.0,0.052819114,0.0,0.0,0.0,0.018000966,0.59162015,0.0,0.0,0.049486585,1.3975799,0.17944795,0.0,0.23291412,0.14502263,0.0,0.0,0.0,0.0,0.5730972,0.14075676,0.9186538,0.0,0.1366963,0.0,0.618054,0.8355632,0.0,0.008348003,0.0,1.0496893,0.48069727,1.1525981,0.12652625,0.60970587,0.0
"['American_films_by_studio', '2004_films', 'English-language_films', '2004_science_fiction_films']",0.028894905,0.14465418,0.0,0.0,0.0,0.2420594,0.0,0.15401818,0.47976753,0.0,0.0,0.0,0.49065438,0.34474823,0.3247235,0.4403139,0.0,0.38870028,0.0,0.8699778,0.111553855,0.0,0.0,0.6636345,0.32356492,0.0,0.0,0.0,0.10870468,0.35205802,0.0,0.0,0.24048236,0.16121908,0.26098087,0.0,0.593683,0.4070497,0.77084255,0.3523341,0.0,0.0,0.0,0.35891452,0.279516,0.92919683,0.0,0.13862209,0.0,0.0,0.0,0.4247768,0.0,0.0,0.0,0.0,0.27687082,0.0,0.77760637,0.0,0.537449,0.18264847,0.14386396,0.0
['2018_romantic_comedy_films'],0.0,0.58894473,0.78554636,0.23145303,0.0,1.2259403,0.0,0.0,1.0991597,0.0,0.0,0.0,0.5836263,1.1371813,0.7440719,1.5626967,0.0,1.4137416,0.0,0.93776846,0.4544769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73007447,1.0174958,0.0,0.0,0.095237635,0.3587549,0.0,0.0,1.5512977,0.0,1.0011678,1.0620086,0.0,0.0,0.0,1.0057483,1.5123364,1.7641057,0.0,0.0,0.0,0.0,0.0,1.7543666,0.0,0.0,0.0,0.0,1.2412521,0.0,0.7212353,0.0,1.4899148,1.2639818,0.982588,0.0
"['Cinema_of_China', 'Films_by_country_of_setting']",0.0,1.0476313,1.6680884,1.029293,0.0,2.0161517,0.0,0.0,1.5449597,0.0,0.0,0.0,0.4925643,1.4159335,1.3016001,2.571902,0.0,2.0063171,0.0,1.0548419,0.8299804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024743,1.3496207,0.0,0.0,0.065895215,0.32986188,0.0,0.0,1.9748414,0.0,0.9958638,1.4229579,0.0,0.0,0.0,1.1564375,2.4139879,2.185041,0.0,0.0,0.0,0.0,0.0,2.530286,0.0,0.0,0.0,0.0,1.5671487,0.0,0.63096166,0.0,2.1907353,2.1095016,1.7029022,0.0
['Teen_comedy_films_by_decade'],0.34840184,0.0,0.11547276,0.0,0.25582305,0.0,0.10757084,0.42546487,0.0,0.09474316,0.75355464,0.15459225,0.27151555,0.0,0.0,0.0,0.08015772,0.0,0.6465286,0.9270392,0.0,0.20452504,0.15808176,0.6918771,0.2662196,0.5311688,0.34513992,0.0,0.0,0.0,0.13682927,0.09456455,0.0,0.0,0.57767385,0.12399203,0.0,0.0,0.6308025,0.0,0.14553104,0.21088806,0.31134233,0.0,0.0,0.0,0.0,0.5527177,0.44430217,0.6684677,0.17348744,0.0,0.035233147,0.7130429,0.81124187,0.12291627,0.0,0.23627634,0.7144639,0.7605595,0.6594243,0.0,0.3612548,0.11128268
['Chinese_films'],0.38341254,0.026719263,0.589713,0.09633187,0.33472797,0.11435116,0.0,0.0,0.015296433,0.0,0.37951177,0.0,0.09022341,0.03982431,0.010356792,0.3570272,0.0,0.14503561,0.386268,0.56800056,0.0,0.0,0.0,0.35990426,0.088894516,0.48089808,0.3038227,0.0,0.17045167,0.020663954,0.0,0.0,0.0,0.073791735,0.32619447,0.0,0.13515644,0.0,0.5002081,0.0014849221,0.0,0.37549958,0.49811238,0.08435351,0.20840915,0.0,0.0,0.1457266,0.079674095,0.4417485,0.0,0.41111648,0.0,0.6337705,0.51616096,0.0,0.10232828,0.0,0.12748651,0.597656,0.9488661,0.23539856,0.52809477,0.0
"['Cinema_of_the_United_States', 'Films_set_in_Brighton', 'Films_scored_by_Edward_Shearmur']",0.38270104,0.0,0.4573555,0.12170631,0.3732043,0.04004302,0.076795235,0.012252396,0.0,0.0050580604,0.38543347,0.0,0.09888333,0.01682,0.0,0.20666024,0.0,0.0695694,0.33349583,0.32843432,0.0,0.011412483,0.0044063376,0.23266824,0.13701104,0.4794134,0.26467028,0.0,0.11433598,0.0,0.0,0.041394718,0.0,0.012579512,0.3337648,0.05194708,0.07159132,0.0,0.36725336,0.0,0.09294002,0.34428373,0.44757348,0.0,0.1400321,0.0,0.057132155,0.14049739,0.139651,0.34180358,0.0,0.25326765,0.03166084,0.5425498,0.4967575,0.0,0.029490082,0.0,0.0,0.5744552,0.66199875,0.15346003,0.36464614,0.012149731
['Films_set_in_New_York_City'],0.16286159,0.20960927,0.36501163,0.0,0.0,0.23058787,0.0,0.1040761,0.2726784,0.0,0.3731215,0.0,0.27554604,0.15262216,0.22262982,0.55061275,0.0,0.13443592,0.3096414,1.2173581,0.14497522,0.0,0.0,0.8162776,0.22685938,0.19065475,0.21168432,0.0,0.0049432144,0.2043389,0.0,0.0,0.0,0.09970049,0.30369154,0.0,0.21541038,0.0,0.9526851,0.21604621,0.0,0.07588167,0.0,0.18668367,0.03980873,0.25084376,0.0,0.24095671,0.0,0.4484261,0.0,0.4146467,0.0,0.31842363,0.3832636,0.0,0.18509576,0.0,0.8843084,0.12913825,1.0238014,0.25634485,0.5812401,0.0
"['Films_directed_by_Joachim_Trier', '2017_thriller_films', 'Depictions_of_women_in_film', 'Works_by_Norwegian_people']",0.23905656,0.400485,0.6825829,0.0,0.0,0.40463158,0.0,0.0,0.4048172,0.0,0.3039893,0.0,0.2903078,0.39068413,0.29499003,0.74633634,0.0,0.4622668,0.33808768,1.211947,0.18450734,0.0,0.0,0.7539451,0.1589926,0.21005628,0.20331235,0.0,0.3784533,0.2814412,0.0,0.0,0.0,0.2880973,0.24845806,0.0,0.5475947,0.0,0.87701994,0.26658225,0.0,0.34686372,0.15795346,0.46256945,0.4731706,0.40342838,0.0,0.06913206,0.0,0.3762081,0.0,0.77635235,0.0,0.37323314,0.39229715,0.0,0.4183809,0.0,0.5941536,0.19596994,1.3472595,0.4627296,0.70889324,0.0
"['Polish_drama_films', 'Polish_films', 'Films_produced_by_Paulo_Branco', '2008_films', 'Films_scored_by_Michał_Lorenc']",0.6432951,0.0,0.26461455,0.31738976,0.7803361,0.0,0.42052245,0.45772114,0.0,0.26699013,0.83026016,0.4503349,0.2676155,0.0,0.0,0.0,0.63992167,0.0,0.5133623,0.19357194,0.0,0.6031797,0.540995,0.06930937,0.24183547,0.88529855,0.27065822,0.09016221,0.0,0.0,0.3931936,0.40577155,0.0,0.0,0.7318381,0.52617997,0.0,0.0,0.25331095,0.0,0.61776114,0.16888487,0.5710153,0.0,0.0,0.0,0.52983505,0.49702638,0.67650694,0.42958793,0.6292827,0.0,0.453811,0.8635248,0.9242786,0.72903246,0.0,0.46647176,0.08897308,1.177375,0.3203899,0.0,0.260874,0.42586502
"['Lost_American_films', 'American_films_by_genre']",0.55051714,0.0,0.5060856,0.06120473,0.44780627,0.0,0.0927186,0.102242485,0.0,0.0,0.5966543,0.0,0.18287262,0.0,0.0,0.303386,0.0,0.0,0.54375017,0.66920334,0.0,0.025784323,0.025812918,0.46678242,0.23108412,0.6229435,0.3654501,0.0,0.033403516,0.0,0.0,0.025962964,0.0,0.0,0.48425648,0.03551483,0.0,0.0,0.5860393,0.0,0.06504102,0.44383752,0.56192577,0.0,0.024776187,0.0,0.0,0.2705082,0.24762273,0.5930058,0.0,0.26311988,0.0,0.7720592,0.7086319,0.0,0.0,0.0,0.17939259,0.7644488,0.91493535,0.12368777,0.46756414,0.0017438475
"['Scopes_Trial', 'American_courtroom_films', 'American_legal_drama_films', 'American_films_by_studio', 'Films_by_country', 'English-language_films']",0.68231475,0.0,0.5906238,0.0026861257,0.5264506,0.0,0.07140411,0.3541822,0.0,0.0,0.94904864,0.18446326,0.32837233,0.0,0.0,0.3123069,0.023883788,0.0,0.9621715,1.3260555,0.0,0.12627609,0.08928249,0.84127796,0.35164562,0.8910055,0.6564325,0.0,0.0,0.0,0.09425483,0.11165537,0.0,0.0,0.8306568,0.054671325,0.0,0.0,0.9190471,0.0,0.11234143,0.4616397,0.7260164,0.0,0.0,0.0,0.0,0.61837107,0.5430818,0.9854707,0.07608525,0.22583096,0.0,1.3014259,1.1967477,0.025048958,0.0,0.10665799,0.85834646,1.233605,1.4079586,0.11116053,0.75065446,0.0
['American_political_satire_films'],0.40913388,0.037813716,0.25080243,0.0,0.077299565,0.0,0.0,0.3675733,0.0,0.0,0.87307304,0.0,0.41999918,0.0,0.03586222,0.33689854,0.0,0.0,0.67857176,1.4327962,0.024733067,0.0,0.0,1.0915284,0.42968935,0.4570973,0.3135725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62052137,0.0,0.0,0.012118637,1.1470207,0.059552487,0.0,0.2781254,0.18952912,0.0,0.0,0.0,0.0,0.59858507,0.21058631,0.8726032,0.0,0.08069371,0.0,0.66256934,0.83435977,0.0,0.0,0.0,0.9589851,0.5682054,1.0281309,0.014749015,0.5318389,0.00841405
"['1998_films', 'Films_scored_by_Antônio_Pinto', 'Brazilian_drama_films', 'Brazilian_films', 'Films_directed_by_Walter_Salles']",0.48698822,0.0,0.34987217,0.3247091,0.53626764,0.0,0.3757481,0.32351446,0.0,0.3439088,0.53194314,0.48533627,0.14832301,0.0,0.0,0.0,0.5082504,0.0,0.29943544,0.0,0.0,0.47885618,0.43583256,0.0,0.15770257,0.63579005,0.20622008,0.19232729,0.0,0.0,0.3804134,0.34987518,0.0,0.0,0.4523299,0.40062368,0.0,0.0,0.06560318,0.0,0.5238964,0.12565944,0.40792036,0.0,0.0,0.0,0.5695806,0.34940222,0.550711,0.25139856,0.49041826,0.0,0.4895077,0.49535137,0.7203501,0.7113797,0.0,0.36773375,0.0,0.7779071,0.0,0.07771947,0.23851353,0.3496293
['American_films'],0.4555099,0.0,0.63300633,0.0,0.2915736,0.0,0.0,0.2393599,0.0,0.0,0.63605386,0.1469591,0.16798545,0.0,0.0,0.3517062,0.0,0.0,0.71726835,1.1569921,0.021524526,0.0,0.0,0.69113374,0.19245362,0.63935834,0.5539262,0.0,0.0,0.0,0.0314866,0.0,0.0,0.0,0.56073844,0.0,0.0,0.0,0.80574846,0.0026432993,0.0,0.30053654,0.55325806,0.0,0.0,0.0,0.0,0.4251378,0.34011623,0.79901475,0.0,0.31713647,0.0,1.0332196,0.87982553,0.0,0.0,0.0,0.78216827,0.8893643,1.2798585,0.25202915,0.77527976,0.0
